state,district,year,season,crop,production_tonnes,rainfall_mm
Arunachal Pradesh,PAPUM PARE,2004,Kharif,Maize,3240.0,2545.7
Arunachal Pradesh,PAPUM PARE,2004,Kharif,Rice,10277.0,2545.7
Arunachal Pradesh,PAPUM PARE,2004,Kharif,Small millets,738.0,2545.7
Arunachal Pradesh,PAPUM PARE,2004,Rabi,Wheat,258.0,2545.7
Arunachal Pradesh,PAPUM PARE,2004,Whole Year,Dry chillies,170.0,2545.7
Arunachal Pradesh,PAPUM PARE,2004,Whole Year,Dry ginger,5588.0,2545.7
Arunachal Pradesh,PAPUM PARE,2004,Whole Year,Oilseeds total,1819.0,2545.7
Arunachal Pradesh,PAPUM PARE,2004,Whole Year,Potato,4630.0,2545.7
Arunachal Pradesh,PAPUM PARE,2004,Whole Year,Sugarcane,6335.0,2545.7
Arunachal Pradesh,PAPUM PARE,2004,Whole Year,Turmeric,360.0,2545.7
Arunachal Pradesh,TAWANG,2004,Kharif,Maize,1678.0,2545.7
Arunachal Pradesh,TAWANG,2004,Kharif,Rice,1230.0,2545.7
Arunachal Pradesh,TAWANG,2004,Kharif,Small millets,1002.0,2545.7
Arunachal Pradesh,TAWANG,2004,Rabi,Wheat,3109.0,2545.7
Arunachal Pradesh,TAWANG,2004,Whole Year,Dry chillies,140.0,2545.7
Arunachal Pradesh,TAWANG,2004,Whole Year,Dry ginger,70.0,2545.7
Arunachal Pradesh,TAWANG,2004,Whole Year,Oilseeds total,247.0,2545.7
Arunachal Pradesh,TAWANG,2004,Whole Year,Potato,4444.0,2545.7
Arunachal Pradesh,TAWANG,2004,Whole Year,Turmeric,28.0,2545.7
Arunachal Pradesh,TIRAP,2004,Kharif,Maize,3310.0,2545.7
Arunachal Pradesh,TIRAP,2004,Kharif,Rice,2383.0,2545.7
Arunachal Pradesh,TIRAP,2004,Kharif,Small millets,3626.0,2545.7
Arunachal Pradesh,TIRAP,2004,Rabi,Wheat,27.0,2545.7
Arunachal Pradesh,TIRAP,2004,Whole Year,Dry chillies,83.0,2545.7
Arunachal Pradesh,TIRAP,2004,Whole Year,Dry ginger,1635.0,2545.7
Arunachal Pradesh,TIRAP,2004,Whole Year,Oilseeds total,762.0,2545.7
Arunachal Pradesh,TIRAP,2004,Whole Year,Potato,301.0,2545.7
Arunachal Pradesh,TIRAP,2004,Whole Year,Sugarcane,258.0,2545.7
Arunachal Pradesh,TIRAP,2004,Whole Year,Turmeric,142.0,2545.7
Arunachal Pradesh,UPPER SIANG,2004,Kharif,Maize,2305.0,2545.7
Arunachal Pradesh,UPPER SIANG,2004,Kharif,Rice,7669.0,2545.7
Arunachal Pradesh,UPPER SIANG,2004,Kharif,Small millets,1058.0,2545.7
Arunachal Pradesh,UPPER SIANG,2004,Whole Year,Dry chillies,25.0,2545.7
Arunachal Pradesh,UPPER SIANG,2004,Whole Year,Dry ginger,4.0,2545.7
Arunachal Pradesh,UPPER SIANG,2004,Whole Year,Oilseeds total,9968.0,2545.7
Arunachal Pradesh,UPPER SIANG,2004,Whole Year,Potato,144.0,2545.7
Arunachal Pradesh,UPPER SUBANSIRI,2004,Kharif,Maize,1948.0,2545.7
Arunachal Pradesh,UPPER SUBANSIRI,2004,Kharif,Rice,5296.0,2545.7
Arunachal Pradesh,UPPER SUBANSIRI,2004,Kharif,Small millets,1146.0,2545.7
Arunachal Pradesh,UPPER SUBANSIRI,2004,Rabi,Wheat,28.0,2545.7
Arunachal Pradesh,UPPER SUBANSIRI,2004,Whole Year,Dry chillies,252.0,2545.7
Arunachal Pradesh,UPPER SUBANSIRI,2004,Whole Year,Dry ginger,453.0,2545.7
Arunachal Pradesh,UPPER SUBANSIRI,2004,Whole Year,Oilseeds total,1444.0,2545.7
Arunachal Pradesh,UPPER SUBANSIRI,2004,Whole Year,Potato,1583.0,2545.7
Arunachal Pradesh,UPPER SUBANSIRI,2004,Whole Year,Sugarcane,2621.0,2545.7
Arunachal Pradesh,UPPER SUBANSIRI,2004,Whole Year,Turmeric,191.0,2545.7
Arunachal Pradesh,WEST KAMENG,2004,Kharif,Maize,5691.0,2545.7
Arunachal Pradesh,WEST KAMENG,2004,Kharif,Rice,727.0,2545.7
Arunachal Pradesh,WEST KAMENG,2004,Kharif,Small millets,1262.0,2545.7
Arunachal Pradesh,WEST KAMENG,2004,Rabi,Wheat,764.0,2545.7
Arunachal Pradesh,WEST KAMENG,2004,Whole Year,Dry chillies,146.0,2545.7
Arunachal Pradesh,WEST KAMENG,2004,Whole Year,Dry ginger,68.0,2545.7
Arunachal Pradesh,WEST KAMENG,2004,Whole Year,Oilseeds total,171.0,2545.7
Arunachal Pradesh,WEST KAMENG,2004,Whole Year,Potato,2902.0,2545.7
Arunachal Pradesh,WEST SIANG,2004,Kharif,Maize,4071.0,2545.7
Arunachal Pradesh,WEST SIANG,2004,Kharif,Rice,18436.0,2545.7
Arunachal Pradesh,WEST SIANG,2004,Kharif,Small millets,2176.0,2545.7
Arunachal Pradesh,WEST SIANG,2004,Rabi,Wheat,84.0,2545.7
Arunachal Pradesh,WEST SIANG,2004,Whole Year,Dry chillies,110.0,2545.7
Arunachal Pradesh,WEST SIANG,2004,Whole Year,Dry ginger,600.0,2545.7
Arunachal Pradesh,WEST SIANG,2004,Whole Year,Oilseeds total,4440.0,2545.7
Arunachal Pradesh,WEST SIANG,2004,Whole Year,Potato,1750.0,2545.7
Arunachal Pradesh,WEST SIANG,2004,Whole Year,Sugarcane,405.0,2545.7
Arunachal Pradesh,ANJAW,2005,Kharif,Maize,2700.0,2335.5
Arunachal Pradesh,ANJAW,2005,Kharif,Rice,5000.0,2335.5
Arunachal Pradesh,ANJAW,2005,Kharif,Small millets,525.0,2335.5
Arunachal Pradesh,ANJAW,2005,Rabi,Wheat,65.0,2335.5
Arunachal Pradesh,ANJAW,2005,Whole Year,Dry chillies,28.0,2335.5
Arunachal Pradesh,ANJAW,2005,Whole Year,Dry ginger,455.0,2335.5
Arunachal Pradesh,ANJAW,2005,Whole Year,Potato,720.0,2335.5
Arunachal Pradesh,ANJAW,2005,Whole Year,Sugarcane,70.0,2335.5
Arunachal Pradesh,ANJAW,2005,Whole Year,Turmeric,25.0,2335.5
Arunachal Pradesh,CHANGLANG,2005,Kharif,Maize,2090.0,2335.5
Arunachal Pradesh,CHANGLANG,2005,Kharif,Rice,18667.0,2335.5
Arunachal Pradesh,CHANGLANG,2005,Kharif,Small millets,1668.0,2335.5
Arunachal Pradesh,CHANGLANG,2005,Rabi,Wheat,240.0,2335.5
Arunachal Pradesh,CHANGLANG,2005,Whole Year,Dry chillies,982.0,2335.5
Arunachal Pradesh,CHANGLANG,2005,Whole Year,Dry ginger,2707.0,2335.5
Arunachal Pradesh,CHANGLANG,2005,Whole Year,Oilseeds total,2647.0,2335.5
Arunachal Pradesh,CHANGLANG,2005,Whole Year,Potato,390.0,2335.5
Arunachal Pradesh,CHANGLANG,2005,Whole Year,Sugarcane,1498.0,2335.5
Arunachal Pradesh,CHANGLANG,2005,Whole Year,Turmeric,408.0,2335.5
Arunachal Pradesh,DIBANG VALLEY,2005,Kharif,Maize,1697.0,2335.5
Arunachal Pradesh,DIBANG VALLEY,2005,Kharif,Rice,691.0,2335.5
Arunachal Pradesh,DIBANG VALLEY,2005,Kharif,Small millets,240.0,2335.5
Arunachal Pradesh,DIBANG VALLEY,2005,Whole Year,Dry chillies,28.0,2335.5
Arunachal Pradesh,DIBANG VALLEY,2005,Whole Year,Dry ginger,86.0,2335.5
Arunachal Pradesh,DIBANG VALLEY,2005,Whole Year,Oilseeds total,83.0,2335.5
Arunachal Pradesh,DIBANG VALLEY,2005,Whole Year,Potato,280.0,2335.5
Arunachal Pradesh,EAST KAMENG,2005,Kharif,Maize,3220.0,2335.5
Arunachal Pradesh,EAST KAMENG,2005,Kharif,Rice,3158.0,2335.5
Arunachal Pradesh,EAST KAMENG,2005,Kharif,Small millets,481.0,2335.5
Arunachal Pradesh,EAST KAMENG,2005,Rabi,Wheat,46.0,2335.5
Arunachal Pradesh,EAST KAMENG,2005,Whole Year,Dry chillies,112.0,2335.5
Arunachal Pradesh,EAST KAMENG,2005,Whole Year,Dry ginger,227.0,2335.5
Arunachal Pradesh,EAST KAMENG,2005,Whole Year,Oilseeds total,1051.0,2335.5
Arunachal Pradesh,EAST KAMENG,2005,Whole Year,Potato,556.0,2335.5
Arunachal Pradesh,EAST SIANG,2005,Kharif,Maize,5570.0,2335.5
Arunachal Pradesh,EAST SIANG,2005,Kharif,Rice,19535.0,2335.5
Arunachal Pradesh,EAST SIANG,2005,Kharif,Small millets,2740.0,2335.5
Arunachal Pradesh,EAST SIANG,2005,Rabi,Wheat,1045.0,2335.5
Arunachal Pradesh,EAST SIANG,2005,Whole Year,Dry chillies,186.0,2335.5
Arunachal Pradesh,EAST SIANG,2005,Whole Year,Dry ginger,5778.0,2335.5
Arunachal Pradesh,EAST SIANG,2005,Whole Year,Oilseeds total,4173.0,2335.5
Arunachal Pradesh,EAST SIANG,2005,Whole Year,Potato,4833.0,2335.5
Arunachal Pradesh,EAST SIANG,2005,Whole Year,Sugarcane,6500.0,2335.5
Arunachal Pradesh,EAST SIANG,2005,Whole Year,Turmeric,386.0,2335.5
Arunachal Pradesh,KURUNG KUMEY,2005,Kharif,Maize,1870.0,2335.5
Arunachal Pradesh,KURUNG KUMEY,2005,Kharif,Rice,7530.0,2335.5
Arunachal Pradesh,KURUNG KUMEY,2005,Kharif,Small millets,630.0,2335.5
Arunachal Pradesh,KURUNG KUMEY,2005,Whole Year,Dry chillies,13.0,2335.5
Arunachal Pradesh,KURUNG KUMEY,2005,Whole Year,Dry ginger,140.0,2335.5
Arunachal Pradesh,KURUNG KUMEY,2005,Whole Year,Oilseeds total,150.0,2335.5
Arunachal Pradesh,LOHIT,2005,Kharif,Maize,8481.0,2335.5
Arunachal Pradesh,LOHIT,2005,Kharif,Rice,11759.0,2335.5
Arunachal Pradesh,LOHIT,2005,Kharif,Small millets,85.0,2335.5
Arunachal Pradesh,LOHIT,2005,Rabi,Wheat,666.0,2335.5
Arunachal Pradesh,LOHIT,2005,Whole Year,Dry chillies,142.0,2335.5
Arunachal Pradesh,LOHIT,2005,Whole Year,Dry ginger,4551.0,2335.5
Arunachal Pradesh,LOHIT,2005,Whole Year,Oilseeds total,8160.0,2335.5
Arunachal Pradesh,LOHIT,2005,Whole Year,Potato,6598.0,2335.5
Arunachal Pradesh,LOHIT,2005,Whole Year,Sugarcane,176.0,2335.5
Arunachal Pradesh,LOHIT,2005,Whole Year,Turmeric,165.0,2335.5
Arunachal Pradesh,LOWER DIBANG VALLEY,2005,Kharif,Maize,9520.0,2335.5
Arunachal Pradesh,LOWER DIBANG VALLEY,2005,Kharif,Rice,15035.0,2335.5
Arunachal Pradesh,LOWER DIBANG VALLEY,2005,Kharif,Small millets,1005.0,2335.5
Arunachal Pradesh,LOWER DIBANG VALLEY,2005,Rabi,Wheat,302.0,2335.5
Arunachal Pradesh,LOWER DIBANG VALLEY,2005,Whole Year,Dry chillies,33.0,2335.5
Arunachal Pradesh,LOWER DIBANG VALLEY,2005,Whole Year,Dry ginger,15680.0,2335.5
Arunachal Pradesh,LOWER DIBANG VALLEY,2005,Whole Year,Oilseeds total,1575.0,2335.5
Arunachal Pradesh,LOWER DIBANG VALLEY,2005,Whole Year,Potato,1120.0,2335.5
Arunachal Pradesh,LOWER DIBANG VALLEY,2005,Whole Year,Sugarcane,240.0,2335.5
Arunachal Pradesh,LOWER DIBANG VALLEY,2005,Whole Year,Turmeric,445.0,2335.5
Arunachal Pradesh,LOWER SUBANSIRI,2005,Kharif,Maize,2189.0,2335.5
Arunachal Pradesh,LOWER SUBANSIRI,2005,Kharif,Rice,11600.0,2335.5
Arunachal Pradesh,LOWER SUBANSIRI,2005,Kharif,Small millets,3602.0,2335.5
Arunachal Pradesh,LOWER SUBANSIRI,2005,Whole Year,Dry chillies,239.0,2335.5
Arunachal Pradesh,LOWER SUBANSIRI,2005,Whole Year,Dry ginger,484.0,2335.5
Arunachal Pradesh,LOWER SUBANSIRI,2005,Whole Year,Oilseeds total,973.0,2335.5
Arunachal Pradesh,LOWER SUBANSIRI,2005,Whole Year,Potato,3517.0,2335.5
Arunachal Pradesh,LOWER SUBANSIRI,2005,Whole Year,Sugarcane,1336.0,2335.5
Arunachal Pradesh,PAPUM PARE,2005,Kharif,Maize,3497.0,2335.5
Arunachal Pradesh,PAPUM PARE,2005,Kharif,Rice,11615.0,2335.5
Arunachal Pradesh,PAPUM PARE,2005,Kharif,Small millets,861.0,2335.5
Arunachal Pradesh,PAPUM PARE,2005,Rabi,Wheat,280.0,2335.5
Arunachal Pradesh,PAPUM PARE,2005,Whole Year,Dry chillies,95.0,2335.5
Arunachal Pradesh,PAPUM PARE,2005,Whole Year,Dry ginger,726.0,2335.5
Arunachal Pradesh,PAPUM PARE,2005,Whole Year,Oilseeds total,1850.0,2335.5
Arunachal Pradesh,PAPUM PARE,2005,Whole Year,Potato,1840.0,2335.5
Arunachal Pradesh,PAPUM PARE,2005,Whole Year,Sugarcane,3340.0,2335.5
Arunachal Pradesh,PAPUM PARE,2005,Whole Year,Turmeric,175.0,2335.5
Arunachal Pradesh,TAWANG,2005,Kharif,Maize,1408.0,2335.5
Arunachal Pradesh,TAWANG,2005,Kharif,Rice,1057.0,2335.5
Arunachal Pradesh,TAWANG,2005,Kharif,Small millets,1002.0,2335.5
Arunachal Pradesh,TAWANG,2005,Rabi,Wheat,2601.0,2335.5
Arunachal Pradesh,TAWANG,2005,Whole Year,Dry chillies,130.0,2335.5
Arunachal Pradesh,TAWANG,2005,Whole Year,Dry ginger,65.0,2335.5
Arunachal Pradesh,TAWANG,2005,Whole Year,Oilseeds total,233.0,2335.5
Arunachal Pradesh,TAWANG,2005,Whole Year,Potato,3600.0,2335.5
Arunachal Pradesh,TAWANG,2005,Whole Year,Turmeric,27.0,2335.5
Arunachal Pradesh,TIRAP,2005,Kharif,Maize,3314.0,2335.5
Arunachal Pradesh,TIRAP,2005,Kharif,Rice,2509.0,2335.5
Arunachal Pradesh,TIRAP,2005,Kharif,Small millets,3630.0,2335.5
Arunachal Pradesh,TIRAP,2005,Rabi,Wheat,26.0,2335.5
Arunachal Pradesh,TIRAP,2005,Whole Year,Oilseeds total,767.0,2335.5
Arunachal Pradesh,TIRAP,2005,Whole Year,Potato,327.0,2335.5
Arunachal Pradesh,UPPER SIANG,2005,Kharif,Maize,2600.0,2335.5
Arunachal Pradesh,UPPER SIANG,2005,Kharif,Rice,7667.0,2335.5
Arunachal Pradesh,UPPER SIANG,2005,Kharif,Small millets,1100.0,2335.5
Arunachal Pradesh,UPPER SIANG,2005,Whole Year,Dry chillies,112.0,2335.5
Arunachal Pradesh,UPPER SIANG,2005,Whole Year,Dry ginger,1100.0,2335.5
Arunachal Pradesh,UPPER SIANG,2005,Whole Year,Oilseeds total,51.0,2335.5
Arunachal Pradesh,UPPER SIANG,2005,Whole Year,Potato,375.0,2335.5
Arunachal Pradesh,UPPER SIANG,2005,Whole Year,Sugarcane,400.0,2335.5
Arunachal Pradesh,UPPER SUBANSIRI,2005,Kharif,Maize,981.0,2335.5
Arunachal Pradesh,UPPER SUBANSIRI,2005,Kharif,Rice,6708.0,2335.5
Arunachal Pradesh,UPPER SUBANSIRI,2005,Kharif,Small millets,1575.0,2335.5
Arunachal Pradesh,UPPER SUBANSIRI,2005,Rabi,Wheat,43.0,2335.5
Arunachal Pradesh,UPPER SUBANSIRI,2005,Whole Year,Dry chillies,168.0,2335.5
Arunachal Pradesh,UPPER SUBANSIRI,2005,Whole Year,Dry ginger,810.0,2335.5
Arunachal Pradesh,UPPER SUBANSIRI,2005,Whole Year,Oilseeds total,142.0,2335.5
Arunachal Pradesh,UPPER SUBANSIRI,2005,Whole Year,Potato,1240.0,2335.5
Arunachal Pradesh,WEST KAMENG,2005,Kharif,Maize,4377.0,2335.5
Arunachal Pradesh,WEST KAMENG,2005,Kharif,Rice,760.0,2335.5
Arunachal Pradesh,WEST KAMENG,2005,Kharif,Small millets,948.0,2335.5
Arunachal Pradesh,WEST KAMENG,2005,Rabi,Wheat,764.0,2335.5
Arunachal Pradesh,WEST KAMENG,2005,Whole Year,Dry chillies,146.0,2335.5
Arunachal Pradesh,WEST KAMENG,2005,Whole Year,Dry ginger,68.0,2335.5
Arunachal Pradesh,WEST KAMENG,2005,Whole Year,Oilseeds total,173.0,2335.5
Arunachal Pradesh,WEST KAMENG,2005,Whole Year,Potato,2899.0,2335.5
Arunachal Pradesh,WEST SIANG,2005,Kharif,Maize,4384.0,2335.5
Arunachal Pradesh,WEST SIANG,2005,Kharif,Rice,22900.0,2335.5
Arunachal Pradesh,WEST SIANG,2005,Kharif,Small millets,2284.0,2335.5
Arunachal Pradesh,WEST SIANG,2005,Rabi,Wheat,62.0,2335.5
Arunachal Pradesh,WEST SIANG,2005,Whole Year,Dry chillies,232.0,2335.5
Arunachal Pradesh,WEST SIANG,2005,Whole Year,Dry ginger,449.0,2335.5
Arunachal Pradesh,WEST SIANG,2005,Whole Year,Oilseeds total,1667.0,2335.5
Arunachal Pradesh,WEST SIANG,2005,Whole Year,Potato,1543.0,2335.5
Arunachal Pradesh,WEST SIANG,2005,Whole Year,Sugarcane,2621.0,2335.5
Arunachal Pradesh,ANJAW,2006,Kharif,Maize,3719.0,2259.6
Arunachal Pradesh,ANJAW,2006,Kharif,Rice,3004.0,2259.6
Arunachal Pradesh,ANJAW,2006,Kharif,Small millets,492.0,2259.6
Arunachal Pradesh,ANJAW,2006,Rabi,Wheat,73.0,2259.6
Arunachal Pradesh,ANJAW,2006,Whole Year,Dry chillies,30.0,2259.6
Arunachal Pradesh,ANJAW,2006,Whole Year,Dry ginger,1199.0,2259.6
Arunachal Pradesh,ANJAW,2006,Whole Year,Oilseeds total,75.0,2259.6
Arunachal Pradesh,ANJAW,2006,Whole Year,Potato,925.0,2259.6
Arunachal Pradesh,ANJAW,2006,Whole Year,Sugarcane,7.0,2259.6
Arunachal Pradesh,ANJAW,2006,Whole Year,Turmeric,76.0,2259.6
Arunachal Pradesh,CHANGLANG,2006,Kharif,Maize,1204.0,2259.6
Arunachal Pradesh,CHANGLANG,2006,Kharif,Rice,10606.0,2259.6
Arunachal Pradesh,CHANGLANG,2006,Kharif,Small millets,1007.0,2259.6
Arunachal Pradesh,CHANGLANG,2006,Rabi,Wheat,283.0,2259.6
Arunachal Pradesh,CHANGLANG,2006,Whole Year,Dry chillies,472.0,2259.6
Arunachal Pradesh,CHANGLANG,2006,Whole Year,Dry ginger,1752.0,2259.6
Arunachal Pradesh,CHANGLANG,2006,Whole Year,Oilseeds total,758.0,2259.6
Arunachal Pradesh,CHANGLANG,2006,Whole Year,Potato,456.0,2259.6
Arunachal Pradesh,CHANGLANG,2006,Whole Year,Sugarcane,2779.0,2259.6
Arunachal Pradesh,CHANGLANG,2006,Whole Year,Turmeric,259.0,2259.6
Arunachal Pradesh,DIBANG VALLEY,2006,Kharif,Maize,1770.0,2259.6
Arunachal Pradesh,DIBANG VALLEY,2006,Kharif,Rice,1273.0,2259.6
Arunachal Pradesh,DIBANG VALLEY,2006,Kharif,Small millets,280.0,2259.6
Arunachal Pradesh,DIBANG VALLEY,2006,Whole Year,Dry chillies,31.0,2259.6
Arunachal Pradesh,DIBANG VALLEY,2006,Whole Year,Dry ginger,8.0,2259.6
Arunachal Pradesh,DIBANG VALLEY,2006,Whole Year,Oilseeds total,9989.0,2259.6
Arunachal Pradesh,DIBANG VALLEY,2006,Whole Year,Potato,333.0,2259.6
Arunachal Pradesh,EAST KAMENG,2006,Kharif,Maize,3497.0,2259.6
Arunachal Pradesh,EAST KAMENG,2006,Kharif,Rice,6313.0,2259.6
Arunachal Pradesh,EAST KAMENG,2006,Kharif,Small millets,475.0,2259.6
Arunachal Pradesh,EAST KAMENG,2006,Rabi,Wheat,47.0,2259.6
Arunachal Pradesh,EAST KAMENG,2006,Whole Year,Dry chillies,124.0,2259.6
Arunachal Pradesh,EAST KAMENG,2006,Whole Year,Dry ginger,223.0,2259.6
Arunachal Pradesh,EAST KAMENG,2006,Whole Year,Oilseeds total,1073.0,2259.6
Arunachal Pradesh,EAST KAMENG,2006,Whole Year,Potato,522.0,2259.6
Arunachal Pradesh,EAST SIANG,2006,Kharif,Maize,6444.0,2259.6
Arunachal Pradesh,EAST SIANG,2006,Kharif,Rice,19729.0,2259.6
Arunachal Pradesh,EAST SIANG,2006,Kharif,Small millets,2740.0,2259.6
Arunachal Pradesh,EAST SIANG,2006,Rabi,Wheat,1045.0,2259.6
Arunachal Pradesh,EAST SIANG,2006,Whole Year,Dry chillies,186.0,2259.6
